;train_accuracy;test_accuracy;train_loss;test_loss;run
count;25.0;25.0;25.0;25.0;25.0
mean;0.9761512041091919;0.974109582901001;0.06008936934173107;0.07363758884370326;12.0
std;0.01233369226710079;0.012778768064213629;0.028141910210329472;0.031176470453102345;7.359800721939872
min;0.9441580772399902;0.9452054500579834;0.030437806621193886;0.02295280434191227;0.0
25%;0.9699312448501587;0.9691780805587769;0.03595877066254616;0.047838784754276276;6.0
50%;0.9776632189750671;0.9760273694992065;0.06033991649746895;0.07250040024518967;12.0
75%;0.9871134161949158;0.982876718044281;0.0731000229716301;0.08825273811817169;18.0
max;0.9896907210350037;0.9931507110595703;0.14685697853565216;0.15958018600940704;24.0
