;train_accuracy;test_accuracy;train_loss;test_loss;run
0;0.9716494679450989;0.9691780805587769;0.0719660148024559;0.08639901131391525;0
1;0.988831639289856;0.9794520735740662;0.03595877066254616;0.04315824434161186;1
2;0.9828178882598877;0.965753436088562;0.04585346579551697;0.07456351816654205;2
3;0.9896907210350037;0.9897260069847107;0.0329274982213974;0.050955113023519516;3
4;0.9441580772399902;0.9760273694992065;0.14685697853565216;0.08825273811817169;4
5;0.962199330329895;0.9452054500579834;0.08515475690364838;0.1286233812570572;5
6;0.9776632189750671;0.9589040875434875;0.06211628392338753;0.07153502106666565;6
7;0.9845361113548279;0.9794520735740662;0.040709372609853745;0.04176850616931915;7
8;0.9630584120750427;0.9726027250289917;0.08029895275831223;0.08837892860174179;8
9;0.9879724979400635;0.9760273694992065;0.032033346593379974;0.08651962131261826;9
10;0.9862542748451233;0.9863013625144958;0.030437806621193886;0.06394062936306;10
11;0.9725086092948914;0.9863013625144958;0.06615814566612244;0.08827028423547745;11
12;0.9896907210350037;0.982876718044281;0.034413810819387436;0.06533128023147583;12
13;0.9725086092948914;0.982876718044281;0.06618958711624146;0.07250040024518967;13
14;0.9716494679450989;0.965753436088562;0.07261572778224945;0.08688218891620636;14
15;0.9647766351699829;0.9691780805587769;0.07652485370635986;0.06818981468677521;15
16;0.9836769700050354;0.9760273694992065;0.04295036196708679;0.047838784754276276;16
17;0.9587628841400146;0.9691780805587769;0.09937991946935654;0.0776350200176239;17
18;0.9836769700050354;0.9931507110595703;0.03957999497652054;0.02295280434191227;18
19;0.988831639289856;0.9897260069847107;0.03438793867826462;0.03000222146511078;19
20;0.9587628841400146;0.9691780805587769;0.09742623567581177;0.11098548024892807;20
21;0.9699312448501587;0.9589040875434875;0.0731000229716301;0.10024628788232803;21
22;0.9879724979400635;0.9863013625144958;0.031835008412599564;0.044118732213974;22
23;0.9750859141349792;0.9452054500579834;0.06033991649746895;0.15958018600940704;23
24;0.9871134161949158;0.9794520735740662;0.04301946237683296;0.042311523109674454;24
